year,month,day_type,zone_name,dir,avg_daily_zone_vol,dir_avg_daily_vol,zone_vol_percent,avg_trip_duration,avg_trip_length
2019,2,1: Weekday (M-Th),GB-EB,EB,60733,489965,12.39537517985978590300,5341,47.4
2019,2,1: Weekday (M-Th),GWB-EB,EB,181564,489965,37.05652444562366699700,5465,49.6
2019,2,1: Weekday (M-Th),HT-EB,EB,58653,489965,11.97085506107579112800,4254,23.1
2019,2,1: Weekday (M-Th),LT-EB,EB,127634,489965,26.04961578888287938900,4294,25.4
2019,2,1: Weekday (M-Th),OB-EB,EB,48643,489965,9.92785198942781627300,4522,41.9
2019,2,1: Weekday (M-Th),BB-WB,WB,9182,515227,1.78212710125828033100,3522,21.7
2019,2,1: Weekday (M-Th),GB-WB,WB,56811,515227,11.02640195486649573900,5070,46.7
2019,2,1: Weekday (M-Th),GWB-WB,WB,169583,515227,32.91423003841025412100,5104,44.8
2019,2,1: Weekday (M-Th),HT-WB,WB,74912,515227,14.53961069586803486600,4745,28.4
2019,2,1: Weekday (M-Th),LT-WB,WB,158006,515227,30.66725928571289936300,4485,28.7
2019,2,1: Weekday (M-Th),OB-WB,WB,46733,515227,9.07037092388403558000,4153,39
2019,2,2: Weekday2 (M-F),BB-EB,EB,13060,498376,2.62051142109571889500,3912,25.4
2019,2,2: Weekday2 (M-F),GB-EB,EB,61918,498376,12.42395299934186236900,5371,48
2019,2,2: Weekday2 (M-F),GWB-EB,EB,185114,498376,37.14344189928889031600,5502,50.2
2019,2,2: Weekday2 (M-F),HT-EB,EB,59361,498376,11.91088655954540347000,4282,23.3
2019,2,2: Weekday2 (M-F),LT-EB,EB,128854,498376,25.85477631346613801600,4297,25.6
2019,2,2: Weekday2 (M-F),OB-EB,EB,50069,498376,10.04643080726198693400,4498,41.7
2019,2,2: Weekday2 (M-F),BB-WB,WB,9442,526598,1.79301858343556185200,3535,21.8
2019,2,2: Weekday2 (M-F),GB-WB,WB,59788,526598,11.35363218242378436700,5252,49.2
2019,2,2: Weekday2 (M-F),GWB-WB,WB,174433,526598,33.12450863846805343000,5213,45.9
2019,2,2: Weekday2 (M-F),HT-WB,WB,75162,526598,14.27312674943695190600,4736,28.2
2019,2,2: Weekday2 (M-F),LT-WB,WB,158751,526598,30.14652543306279173100,4531,29.1
2019,2,2: Weekday2 (M-F),OB-WB,WB,49022,526598,9.30918841317285671400,4257,40.4
2019,2,3: Weekday3 (Tu-Th),BB-EB,EB,13023,488802,2.66426896780291406300,3911,25
2019,2,3: Weekday3 (Tu-Th),GB-EB,EB,59684,488802,12.21026100547870098700,5294,45.8
2019,2,3: Weekday3 (Tu-Th),GWB-EB,EB,179190,488802,36.65901530681134692600,5423,47.9
2019,2,3: Weekday3 (Tu-Th),HT-EB,EB,59211,488802,12.11349380730848073500,4249,22.5
2019,2,3: Weekday3 (Tu-Th),LT-EB,EB,130168,488802,26.63000560554171218600,4292,24.9
2019,2,3: Weekday3 (Tu-Th),OB-EB,EB,47526,488802,9.72295530705684510300,4489,40.9
2019,2,3: Weekday3 (Tu-Th),BB-WB,WB,9399,516205,1.82078825272905144300,3540,21.7
2019,2,3: Weekday3 (Tu-Th),GB-WB,WB,56153,516205,10.87804263809920477300,5072,45.9
2019,2,3: Weekday3 (Tu-Th),GWB-WB,WB,169599,516205,32.85497040904291899500,5111,43.9
2019,2,3: Weekday3 (Tu-Th),HT-WB,WB,75242,516205,14.57599209616334595800,4736,27.8
2019,2,3: Weekday3 (Tu-Th),LT-WB,WB,159615,516205,30.92085508664193489000,4513,28.4
2019,2,3: Weekday3 (Tu-Th),OB-WB,WB,46197,516205,8.94935151732354394100,4173,38.6
2019,2,4: Weekend2 (F-Su),BB-EB,EB,9130,510205,1.78947677894179790500,3735,25.6
2019,2,4: Weekend2 (F-Su),GB-EB,EB,68717,510205,13.46850775668603796500,5413,54.4
2019,2,4: Weekend2 (F-Su),GWB-EB,EB,206073,510205,40.39023529757646436200,5487,55.4
2019,2,4: Weekend2 (F-Su),HT-EB,EB,54298,510205,10.64238884370008134000,4525,26.7
2019,2,4: Weekend2 (F-Su),LT-EB,EB,109453,510205,21.45274938505110690800,4410,30.1
2019,2,4: Weekend2 (F-Su),OB-EB,EB,62534,510205,12.25664193804451152000,4420,44.3
2019,2,4: Weekend2 (F-Su),BB-WB,WB,6732,532078,1.26522803047673461400,3283,21.2
2019,2,4: Weekend2 (F-Su),GB-WB,WB,68450,532078,12.86465518213495013900,5430,58
2019,2,4: Weekend2 (F-Su),GWB-WB,WB,197796,532078,37.17424888832088528400,5267,52.4
2019,2,4: Weekend2 (F-Su),HT-WB,WB,71833,532078,13.50046421765229909900,5000,32
2019,2,4: Weekend2 (F-Su),LT-WB,WB,124932,532078,23.48001608786681651900,4719,33.8
2019,2,4: Weekend2 (F-Su),OB-WB,WB,62335,532078,11.71538759354831434500,4263,44
2019,2,5: Weekend Day (Sa-Su),BB-EB,EB,6522,499300,1.30622872020829160800,3477,25
2019,2,5: Weekend Day (Sa-Su),GB-EB,EB,69747,499300,13.96895653915481674300,5381,56.4
2019,2,5: Weekend Day (Sa-Su),GWB-EB,EB,209454,499300,41.94952934107750851200,5416,56.9
2019,2,5: Weekend Day (Sa-Su),HT-EB,EB,50351,499300,10.08431804526336871600,4612,28.2
2019,2,5: Weekend Day (Sa-Su),LT-EB,EB,97312,499300,19.48968555978369717600,4482,32.7
2019,2,5: Weekend Day (Sa-Su),OB-EB,EB,65914,499300,13.20128179451231724400,4422,45.7
2019,2,5: Weekend Day (Sa-Su),BB-WB,WB,4857,512073,0.94849757749383388700,2951,20.2
2019,2,5: Weekend Day (Sa-Su),GB-WB,WB,66825,512073,13.04989718262825808000,5210,58.3
2019,2,5: Weekend Day (Sa-Su),GWB-WB,WB,199778,512073,39.01357814217894714200,5105,53.6
2019,2,5: Weekend Day (Sa-Su),HT-WB,WB,69669,512073,13.60528674622563579800,5163,34.3
2019,2,5: Weekend Day (Sa-Su),LT-WB,WB,106532,512073,20.80406504541344691100,4722,36.4
2019,2,5: Weekend Day (Sa-Su),OB-WB,WB,64412,512073,12.57867530605987818100,4114,43.6
2019,3,0: All Days (M-Su),BB-EB,EB,13002,492857,2.63808772118484672000,3903,25.8
2019,3,0: All Days (M-Su),GB-EB,EB,67322,492857,13.65954019117106990500,5547,50.9
2019,3,0: All Days (M-Su),GWB-EB,EB,182740,492857,37.07769190657736422500,5614,49
2019,3,0: All Days (M-Su),HT-EB,EB,55065,492857,11.17261193409041567800,4548,24.9
2019,3,0: All Days (M-Su),LT-EB,EB,118418,492857,24.02684754401378087400,4466,28
2019,3,0: All Days (M-Su),OB-EB,EB,56310,492857,11.42522070296252259800,4538,42.5
2019,3,0: All Days (M-Su),BB-WB,WB,9540,532331,1.79211806188255051800,3570,21.9
2019,3,0: All Days (M-Su),GB-WB,WB,64180,532331,12.05640851274864698800,5295,51.8
2019,3,0: All Days (M-Su),GWB-WB,WB,185057,532331,34.76352119264142047000,5281,48.6
2019,3,0: All Days (M-Su),HT-WB,WB,73781,532331,13.85998561045665197000,5004,30.8
2019,3,0: All Days (M-Su),LT-WB,WB,144482,532331,27.14138383825101299800,4648,31.4
2019,3,0: All Days (M-Su),OB-WB,WB,55291,532331,10.38658278401971705600,4228,41.1
2019,3,1: Weekday (M-Th),BB-EB,EB,13175,472461,2.78858995768962940900,3876,25
2019,3,1: Weekday (M-Th),GB-EB,EB,61704,472461,13.06012559766837897700,5336,46.1
2019,3,1: Weekday (M-Th),GWB-EB,EB,165308,472461,34.98870806267607273400,5423,44.6
2019,3,1: Weekday (M-Th),HT-EB,EB,57890,472461,12.25286319929052345100,4363,23.3
2019,3,1: Weekday (M-Th),LT-EB,EB,127296,472461,26.94317626216767098200,4360,25.8
2019,3,1: Weekday (M-Th),OB-EB,EB,47088,472461,9.96653692050772444700,4461,40
2019,3,1: Weekday (M-Th),BB-WB,WB,9730,515742,1.88660221583660047100,3650,22.1
2019,3,1: Weekday (M-Th),GB-WB,WB,58051,515742,11.25582170930426453500,5075,45.8
2019,3,1: Weekday (M-Th),GWB-WB,WB,166709,515742,32.32410779032927316400,5108,44.1
2019,3,1: Weekday (M-Th),HT-WB,WB,75601,515742,14.65868593211334349300,4786,28.6
2019,3,1: Weekday (M-Th),LT-WB,WB,160510,515742,31.12215022239802071600,4518,29.3
2019,3,1: Weekday (M-Th),OB-WB,WB,45141,515742,8.75263213001849762100,4115,37.9
2019,3,2: Weekday2 (M-F),BB-EB,EB,13506,480352,2.81168809539670908000,3914,25.4
2019,3,2: Weekday2 (M-F),GB-EB,EB,63029,480352,13.12141929251881953200,5466,47.5
2019,3,2: Weekday2 (M-F),GWB-EB,EB,169785,480352,35.34595463326893611400,5545,45.9
2019,3,2: Weekday2 (M-F),HT-EB,EB,58509,480352,12.18044267537139431100,4405,23.6
2019,3,2: Weekday2 (M-F),LT-EB,EB,127111,480352,26.46205282792618746300,4398,26.3
2019,3,2: Weekday2 (M-F),OB-EB,EB,48412,480352,10.07844247551795350100,4487,40.2
2019,3,2: Weekday2 (M-F),BB-WB,WB,9914,527047,1.88104666187266031300,3669,22.2
2019,3,2: Weekday2 (M-F),GB-WB,WB,60762,527047,11.52876308943984122900,5295,48.6
2019,3,2: Weekday2 (M-F),GWB-WB,WB,172743,527047,32.77563481055769219800,5282,45.9
2019,3,2: Weekday2 (M-F),HT-WB,WB,76339,527047,14.48428698009854908600,4829,28.9
