date,crossing_name,auto,bus,truck,total,date2,day_type
2019-02-05,LT,40228.0,7036.0,3512,50776,2019-02,1
2019-02-05,OBX,36463.0,101.0,2293,38857,2019-02,1
2019-02-06,BB,7382.0,43.0,574,7999,2019-02,2
2019-02-06,GB,38515.0,353.0,4829,43697,2019-02,2
2019-02-06,GWB,113478.0,1209.0,12848,127535,2019-02,2
2019-02-06,HT,38938.0,506.0,1560,41004,2019-02,2
2019-02-06,LT,39290.0,6195.0,3376,48861,2019-02,2
2019-02-06,OBX,36116.0,116.0,2428,38660,2019-02,2
2019-02-07,BB,7147.0,54.0,614,7815,2019-02,3
2019-02-07,GB,39388.0,413.0,4857,44658,2019-02,3
2019-02-07,GWB,118905.0,1298.0,13035,133238,2019-02,3
2019-02-07,HT,39929.0,511.0,1546,41986,2019-02,3
2019-02-07,LT,41451.0,7070.0,3507,52028,2019-02,3
2019-02-07,OBX,35552.0,100.0,2452,38104,2019-02,3
2019-02-08,BB,8007.0,49.0,787,8843,2019-02,4
2019-02-08,GB,40533.0,407.0,4318,45258,2019-02,4
2019-02-08,GWB,118541.0,1269.0,11617,131427,2019-02,4
2019-02-08,HT,41211.0,523.0,1575,43309,2019-02,4
2019-02-08,LT,41774.0,7135.0,3539,52448,2019-02,4
2019-02-08,OBX,37744.0,108.0,2364,40216,2019-02,4
2019-02-09,GB,46055.0,152.0,1740,47947,2019-02,5
2019-02-09,GWB,126282.0,855.0,5021,132158,2019-02,5
2019-02-09,HT,43177.0,241.0,679,44097,2019-02,5
2019-02-09,LT,45889.0,3188.0,1413,50490,2019-02,5
2019-02-09,OBX,39165.0,77.0,915,40157,2019-02,5
2019-02-10,GB,44294.0,127.0,827,45248,2019-02,6
2019-02-10,GWB,127713.0,791.0,3699,132203,2019-02,6
2019-02-10,HT,39640.0,220.0,243,40103,2019-02,6
2019-02-10,LT,40965.0,2788.0,761,44514,2019-02,6
2019-02-10,OBX,38255.0,91.0,517,38863,2019-02,6
2019-02-11,BB,7256.0,30.0,576,7862,2019-02,0
2019-02-11,GB,38131.0,430.0,4463,43024,2019-02,0
2019-02-11,GWB,114585.0,1216.0,11568,127369,2019-02,0
2019-02-11,HT,37487.0,478.0,1497,39462,2019-02,0
2019-02-11,LT,37894.0,7053.0,3313,48260,2019-02,0
2019-02-11,OBX,34914.0,100.0,2148,37162,2019-02,0
2019-02-12,BB,5305.0,30.0,363,5698,2019-02,1
2019-02-12,GB,25521.0,328.0,2803,28652,2019-02,1
2019-02-12,GWB,73125.0,786.0,9970,83881,2019-02,1
2019-02-12,HT,27216.0,420.0,1398,29034,2019-02,1
2019-02-12,LT,28048.0,6381.0,2916,37345,2019-02,1
2019-02-12,OBX,23750.0,80.0,1934,25764,2019-02,1
2019-02-13,BB,7908.0,32.0,503,8443,2019-02,2
2019-02-13,GB,38297.0,438.0,4605,43340,2019-02,2
2019-02-13,GWB,113893.0,1269.0,13091,128253,2019-02,2
2019-02-13,HT,38729.0,465.0,1578,40772,2019-02,2
2019-02-13,LT,41056.0,6949.0,3504,51509,2019-02,2
2019-02-13,OBX,35125.0,101.0,2230,37456,2019-02,2
2019-02-14,BB,8336.0,34.0,652,9022,2019-02,3
2019-02-14,GB,41100.0,449.0,4679,46228,2019-02,3
2019-02-14,GWB,121508.0,1247.0,13465,136220,2019-02,3
2019-02-14,HT,40860.0,496.0,1499,42855,2019-02,3
2019-02-14,LT,42639.0,7023.0,3586,53248,2019-02,3
2019-02-14,OBX,36638.0,108.0,2371,39117,2019-02,3
2019-02-15,BB,8905.0,39.0,670,9614,2019-02,4
2019-02-15,GB,43768.0,423.0,4550,48741,2019-02,4
2019-02-15,GWB,133000.0,1331.0,12483,146814,2019-02,4
2019-02-15,HT,42175.0,490.0,1493,44158,2019-02,4
2019-02-15,LT,39639.0,7189.0,3479,50307,2019-02,4
2019-02-15,OBX,37783.0,99.0,2398,40280,2019-02,4
2019-02-16,BB,5553.0,1.0,134,5688,2019-02,5
2019-02-16,GB,43926.0,160.0,1437,45523,2019-02,5
2019-02-16,GWB,132246.0,936.0,5127,138309,2019-02,5
2019-02-16,HT,42735.0,246.0,686,43667,2019-02,5
2019-02-16,LT,44200.0,3392.0,1345,48937,2019-02,5
2019-02-16,OBX,37549.0,84.0,928,38561,2019-02,5
2019-02-17,BB,4894.0,1.0,56,4951,2019-02,6
2019-02-17,GB,43324.0,119.0,699,44142,2019-02,6
2019-02-17,GWB,131811.0,793.0,3239,135843,2019-02,6
2019-02-17,HT,39258.0,216.0,202,39676,2019-02,6
2019-02-17,LT,40732.0,2894.0,685,44311,2019-02,6
2019-02-17,OBX,37792.0,82.0,488,38362,2019-02,6
2019-02-18,BB,6131.0,27.0,316,6474,2019-02,0
2019-02-18,GB,42688.0,273.0,2935,45896,2019-02,0
2019-02-18,GWB,125986.0,968.0,9809,136763,2019-02,0
2019-02-18,HT,37350.0,245.0,994,38589,2019-02,0
2019-02-18,LT,35599.0,4677.0,2132,42408,2019-02,0
2019-02-18,OBX,37544.0,106.0,1734,39384,2019-02,0
2019-02-19,BB,8072.0,30.0,660,8762,2019-02,1
2019-02-19,GB,41968.0,405.0,4686,47059,2019-02,1
2019-02-19,GWB,125030.0,1182.0,13045,139257,2019-02,1
2019-02-19,HT,39686.0,491.0,1490,41667,2019-02,1
2019-02-19,LT,39087.0,7005.0,3469,49561,2019-02,1
2019-02-19,OBX,37581.0,101.0,2364,40046,2019-02,1
2019-02-20,BB,6563.0,36.0,618,7217,2019-02,2
2019-02-20,GB,32434.0,375.0,3889,36698,2019-02,2
2019-02-20,GWB,97819.0,1073.0,12316,111208,2019-02,2
2019-02-20,HT,31339.0,447.0,1465,33251,2019-02,2
2019-02-20,LT,32226.0,6839.0,3330,42395,2019-02,2
2019-02-20,OBX,27746.0,101.0,2425,30272,2019-02,2
2019-02-21,BB,8256.0,38.0,582,8876,2019-02,3
2019-02-21,GB,41106.0,395.0,4413,45914,2019-02,3
2019-02-21,GWB,124184.0,1264.0,12908,138356,2019-02,3
2019-02-21,HT,40775.0,502.0,1487,42764,2019-02,3
2019-02-21,LT,38244.0,7038.0,3375,48657,2019-02,3
2019-02-21,OBX,37159.0,102.0,2221,39482,2019-02,3
2019-02-22,BB,8404.0,35.0,570,9009,2019-02,4
2019-02-22,GB,45417.0,425.0,4362,50204,2019-02,4
2019-02-22,GWB,131547.0,1355.0,12627,145529,2019-02,4
2019-02-22,HT,40778.0,458.0,1534,42770,2019-02,4
2019-02-22,LT,38644.0,7068.0,3514,49226,2019-02,4
2019-02-22,OBX,38974.0,106.0,2340,41420,2019-02,4
2019-02-23,BB,6513.0,4.0,176,6693,2019-02,5
2019-02-23,GB,47841.0,147.0,1529,49517,2019-02,5
2019-02-23,GWB,136965.0,962.0,5118,143045,2019-02,5
